from,to,weight
timgraham,Siecje,2
timgraham,saschpe,1
timgraham,tuxcanfly,6
ryangallen,timgraham,9
timgraham,bryanveloso,1
bryanveloso,ryangallen,1
claudep,carymrobbins,1
mjtamlyn,ryangallen,3
carljm,prestontimmons,11
akaariai,manfre,5
erikr,aaugustin,3
charettes,akaariai,5
akaariai,mnowotka,3
manfre,timgraham,5
mjtamlyn,charettes,7
charettes,nsmgr8,1
nsmgr8,mjtamlyn,4
mjtamlyn,timgraham,40
timgraham,velis74,2
timgraham,benhuckvale,1
timgraham,augeas,1
augeas,evildmp,2
augeas,apollo13,1
evildmp,nsmgr8,2
evildmp,mjtamlyn,3
charettes,aaugustin,2
apollo13,timgraham,19
apollo13,dstufft,1
dstufft,gebi,1
gebi,apollo13,1
evildmp,timgraham,19
timgraham,shaib,6
shaib,evildmp,2
evildmp,aaugustin,2
aaugustin,timgraham,11
Markush2010,timgraham,5
charettes,marfire,3
marfire,timgraham,8
timgraham,zbenjamin,1
charettes,manfre,2
timgraham,PaulMcMillan,2
timgraham,funkybob,10
apollo13,Sc00bz,3
timgraham,loic,60
loic,akaariai,3
timgraham,e0ne,9
akaariai,timgraham,8
timgraham,charettes,11
charettes,mattaustin,1
mattaustin,timgraham,3
timgraham,jMyles,1
jMyles,adrianholovaty,2
akaariai,e0ne,3
timgraham,pablomouzo,4
timgraham,catalanojuan,11
paulcollinsiii,jacobian,4
paulcollinsiii,timgraham,4
paulcollinsiii,akaariai,2
paulcollinsiii,freakboy3742,1
jphalip,sheats,1
jacobian,timgraham,7
rodolfo2488,timgraham,3
charettes,animan1,1
animan1,timgraham,1
timgraham,fluffbeast,6
timgraham,cabincode,2
EricBoersma,Cheekio,1
Cheekio,joequery,1
charettes,EricBoersma,1
technivore,jacobian,1
timgraham,technivore,1
timgraham,EricBoersma,6
EricBoersma,jacobian,3
timgraham,fsw,1
evildmp,EricBoersma,2
timgraham,micahhausler,1
loic,andrewgodwin,3
jacobian,homm,1
homm,bmispelon,1
jacobian,funkybob,1
funkybob,alex,2
alex,timgraham,3
jacobian,ericbuehl,1
ericbuehl,apollo13,1
jacobian,evildmp,2
Markush2010,loic,3
timgraham,andrewgodwin,8
timgraham,prestontimmons,2
mjtamlyn,claudep,6
mjtamlyn,andrewgodwin,3
andrewgodwin,akaariai,4
akaariai,claudep,1
timgraham,claudep,7
claudep,leplatrem,1
funkybob,prestontimmons,2
funkybob,charettes,2
Markush2010,funkybob,1
funkybob,akaariai,1
EnTeQuAk,timgraham,1
maraujop,mjtamlyn,1
