from,to,weight
mojombo,qrush,1
mojombo,andhapp,4
sl4m,mojombo,1
mojombo,koraktor,1
andrewheiss,avinashv,1
koraktor,jduff,1
jduff,RipTheJacker,1
RipTheJacker,sl4m,1
sl4m,defunkt,1
defunkt,mojombo,1
jonforums,sl4m,2
davepeck,andrewheiss,2
andrewheiss,AndreasOM,2
markabe,icco,1
mojombo,lazyeye,1
lazyeye,krisb,1
krisb,mojombo,3
mojombo,bnhymn,1
mojombo,kez,1
kez,davetron5000,1
davetron5000,mojombo,3
jaywilliams,mojombo,1
mojombo,graysky,1
mojombo,To1ne,4
To1ne,rfelix,1
mickey,kez,1
mojombo,xdissent,4
mojombo,rfelix,1
krisb,bak,1
alexyoung,mojombo,1
bentomas,jodosha,1
robey,beastaugh,1
beastaugh,agorf,1
agorf,robey,1
karottenreibe,mojombo,1
shapeshed,mojombo,1
qrush,tcurdt,1
tcurdt,mojombo,1
qrush,andhapp,1
jakobi,mojombo,1
appden,krisb,1
jackowayed,thinkerbot,1
thinkerbot,krisb,1
kylexlau,erikzaadi,1
qrush,christianhellsten,1
appden,andhapp,1
bentomas,krisb,1
kr,klepas,1
qrush,pingswept,1
tsion,beastaugh,1
beastaugh,mojombo,1
nirvdrum,mojombo,1
appden,nirvdrum,3
nirvdrum,avdgaag,1
avdgaag,dgrijalva,1
qrush,jakobi,1
jakobi,dustin,1
dustin,GreenGroup,1
GreenGroup,assaf,1
assaf,xdissent,1
xdissent,qrush,1
TomK32,adamstac,1
arnar,akmassey,1
qrush,Claymore,1
Claymore,TheLinx,1
TheLinx,blakesmith,4
TheLinx,mojombo,1
tomjack,jrk,1
jrk,mojombo,1
koraktor,michaelbarton,1
michaelbarton,AndreasOM,1
AndreasOM,koraktor,1
koraktor,dcreager,1
dcreager,mojombo,1
qrush,qmx,1
qmx,bmaland,1
jrk,vilcans,1
dreamcat4,mikewest,1
mikewest,matschaffer,2
mikewest,mojombo,1
appden,qrush,2
appden,unthinkingly,1
unthinkingly,markoa,1
markoa,gastongarcia,1
n8agrin,bentomas,2
n8agrin,jodosha,1
jodosha,knuton,1
knuton,n8agrin,1
n8agrin,yob,1
yob,krisb,1
krisb,rfelix,1
nirvdrum,h0rs3r4dish,1
tomafro,rfelix,1
qrush,darwin,1
