from,to,weight
pftg,rafaelfranca,1
senny,josevalim,13
masterkain,rafaelfranca,1
senny,bogdan,3
senny,tenderlove,6
pftg,pixeltrix,1
arunagw,senny,4
rafaelfranca,jeremy,31
dmathieu,rafaelfranca,12
rafaelfranca,jacob-carlborg,1
egilburg,senny,2
rafaelfranca,jarl-dk,14
strzalek,pixeltrix,1
pixeltrix,rafaelfranca,36
senny,rafaelfranca,199
senny,fxn,37
robin850,steveklabnik,5
steveklabnik,ProGNOMmers,4
robin850,senny,1
rafaelfranca,spastorino,25
egilburg,kennyj,3
kennyj,rafaelfranca,64
rafaelfranca,NZKoz,8
rafaelfranca,wangjohn,18
rafaelfranca,rubys,18
marclennox,rafaelfranca,9
robin850,rafaelfranca,8
rafaelfranca,nashby,11
rafaelfranca,gaurish,2
schneems,jeremy,3
egilburg,rafaelfranca,1
pixeltrix,kennyj,3
rafaelfranca,bogdan,9
rafaelfranca,sikachu,21
sikachu,fxn,9
fxn,rafaelfranca,35
josevalim,thedarkone,4
dasch,josevalim,1
dmathieu,steveklabnik,3
josevalim,rafaelfranca,22
spastorino,josevalim,1
tenderlove,NZKoz,4
tenderlove,jeremy,2
steveklabnik,adomokos,3
chancancode,carlosantoniodasilva,3
steveklabnik,fxn,49
bughit,thedarkone,5
vipulnsward,rafaelfranca,33
rafaelfranca,ernie,30
SamSaffron,tenderlove,4
tenderlove,carlosantoniodasilva,13
parndt,rafaelfranca,7
carlosantoniodasilva,rafaelfranca,174
rafaelfranca,SamSaffron,16
arunagw,carlosantoniodasilva,13
siong1987,steveklabnik,1
steveklabnik,rafaelfranca,217
carlosantoniodasilva,cannie,1
fxn,guilleiguaran,3
fxn,yfeldblum,1
guilleiguaran,wangjohn,4
drogus,rafaelfranca,13
senny,guilleiguaran,6
bcardarella,danmcclain,2
danmcclain,rafaelfranca,5
senny,carlosantoniodasilva,152
claudiob,steveklabnik,2
guilleiguaran,rafaelfranca,65
rafaelfranca,claudiob,3
josevalim,strzalek,1
thedarkone,rafaelfranca,6
rafaelfranca,jrochkind,22
steveklabnik,TiagoCardoso1983,3
robin850,carlosantoniodasilva,2
robin850,tenderlove,1
brocktimus,steveklabnik,3
garysweaver,steveklabnik,1
prathamesh-sonpatki,carlosantoniodasilva,2
steveklabnik,guilleiguaran,30
senny,kares,1
senny,vipulnsward,7
garysweaver,vipulnsward,1
strzalek,steveklabnik,15
robin850,josevalim,2
steveklabnik,pixeltrix,34
steveklabnik,wangjohn,9
fxn,robin850,4
josevalim,pixeltrix,3
prathamesh-sonpatki,steveklabnik,6
steveklabnik,senny,112
fxn,schneems,7
kirs,rafaelfranca,1
rafaelfranca,indirect,6
mekishizufu,senny,1
SamSaffron,senny,3
fxn,zzak,2
steveklabnik,egilburg,5
Mik-die,rafaelfranca,3
JonRowe,carlosantoniodasilva,1
rafaelfranca,benolee,2
thibaudgg,rafaelfranca,1
guilleiguaran,carlosantoniodasilva,22
steveklabnik,gaurish,13
gaurish,guilleiguaran,1
metaskills,yahonda,2
yahonda,senny,1
fxn,prathamesh-sonpatki,21
carlosantoniodasilva,jonkessler,2
egilburg,jeremy,1
senny,pixeltrix,54
robertomiranda,guilleiguaran,8
guilleiguaran,spastorino,3
steveklabnik,calebthompson,2
rajcybage,carlosantoniodasilva,2
arunagw,guilleiguaran,2
al2o3cr,senny,10
vipulnsward,carlosantoniodasilva,18
dasch,rafaelfranca,3
steveklabnik,vipulnsward,16
steveklabnik,radar,2
egilburg,tenderlove,1
tenderlove,vipulnsward,1
steveklabnik,sadjow,1
arunagw,steveklabnik,6
egilburg,pixeltrix,2
parndt,senny,9
senny,jeremy,9
spastorino,tenderlove,1
senny,versioncontrol,1
steveklabnik,carlosantoniodasilva,168
rafaelfranca,garysweaver,21
rafaelfranca,atambo,1
rafaelfranca,mhuggins,4
rafaelfranca,sekrett,1
bughit,rafaelfranca,2
steveklabnik,indirect,17
rafaelfranca,rmm5t,4
atambo,guilleiguaran,8
steveklabnik,homakov,11
steveklabnik,jmazzi,1
NZKoz,homakov,9
rafaelfranca,prathamesh-sonpatki,2
arunagw,rafaelfranca,7
carlosantoniodasilva,dmathieu,5
josevalim,schneems,8
zenspider,steveklabnik,3
schneems,rafaelfranca,67
rafaelfranca,jaggederest,1
beerlington,rafaelfranca,2
pixeltrix,arunagw,1
josevalim,wangjohn,4
pixeltrix,fxn,13
schneems,senny,20
senny,neerajdotname,8
schneems,guilleiguaran,5
rafaelfranca,dhh,17
schneems,pixeltrix,13
pixeltrix,guilleiguaran,7
guilleiguaran,dmathieu,3
dmathieu,vipulnsward,1
trevorturk,schneems,4
trevorturk,pixeltrix,1
rafaelfranca,versioncontrol,1
steveklabnik,betelgeuse,1
carlosantoniodasilva,fxn,26
fxn,miry,5
rafaelfranca,derekprior,3
rafaelfranca,mattdbridges,5
steveklabnik,drogus,14
guilleiguaran,kennyj,4
wangjohn,egilburg,1
spastorino,robin850,1
senny,drogus,12
steveklabnik,NZKoz,9
drogus,carlosantoniodasilva,5
steveklabnik,Empact,1
gaurish,schneems,3
drogus,schneems,6
senny,Intrepidd,1
senny,nishantmodak,5
senny,thedarkone,3
thedarkone,tenderlove,5
dmathieu,fxn,1
steveklabnik,brixen,2
dmathieu,senny,2
pixeltrix,bogdan,4
senny,kennyj,1
dhh,schneems,8
senny,spastorino,10
senny,acapilleri,11
acapilleri,robin850,2
Alamoz,steveklabnik,8
steveklabnik,ybart,5
ybart,rafaelfranca,1
carlosantoniodasilva,strzalek,3
guilleiguaran,egilburg,1
guilleiguaran,drogus,1
strzalek,rafaelfranca,4
glebm,steveklabnik,1
steveklabnik,kennyj,10
vipulnsward,josevalim,1
rafaelfranca,nathanvda,1
mattdbridges,carlosantoniodasilva,23
pixeltrix,carlosantoniodasilva,25
Sega100500,rafaelfranca,21
steveklabnik,dhh,16
rafaelfranca,neerajdotname,14
carlosantoniodasilva,mhuggins,4
fxn,josevalim,3
xuanxu,rafaelfranca,1
fxn,thedarkone,5
rafaelfranca,freegenie,14
pixeltrix,freegenie,6
carlosantoniodasilva,jonleighton,13
pixeltrix,yahonda,1
frodsan,carlosantoniodasilva,28
neerajdotname,jonleighton,20
carlosantoniodasilva,neerajdotname,18
rafaelfranca,frodsan,76
frodsan,guilleiguaran,21
senny,frodsan,20
schneems,carlosantoniodasilva,27
agrobbin,rafaelfranca,3
schneems,steveklabnik,68
rafaelfranca,JonRowe,4
rafaelfranca,yahonda,29
josevalim,josh,1
josh,rafaelfranca,9
dhh,trevorturk,2
josh,dhh,3
carlosantoniodasilva,egilburg,3
rafaelfranca,tenderlove,25
acapilleri,steveklabnik,18
carlosantoniodasilva,grosser,4
jonleighton,steveklabnik,20
strzalek,senny,3
guilleiguaran,dhh,4
josevalim,dhh,1
carlosantoniodasilva,kennyj,13
rafaelfranca,firedev,1
senny,khustochka,6
khustochka,carlosantoniodasilva,2
schneems,neerajdotname,1
carlosantoniodasilva,wangjohn,10
schneems,vipulnsward,3
steveklabnik,neerajdotname,4
steveklabnik,Intrepidd,1
jcoyne,senny,8
spastorino,carlosantoniodasilva,12
steveklabnik,spastorino,19
tricknotes,rafaelfranca,2
tricknotes,carlosantoniodasilva,5
guilleiguaran,NZKoz,2
acapilleri,rafaelfranca,14
wangjohn,jonleighton,1
arunagw,rajars2576,2
carlosantoniodasilva,rajars2576,1
tenderlove,fxn,4
