from,to,weight
jc00ke,dbussink,12
brixen,dbussink,10
dbussink,mpapis,2
mpapis,brixen,3
jc00ke,brixen,13
robgleeson,dbussink,2
dbussink,guilleiguaran,1
guilleiguaran,brixen,6
dbussink,heftig,1
dbussink,michaelklishin,1
tmornini,dbussink,12
brixen,postmodern,1
steveklabnik,brixen,4
dbussink,ryoqun,9
dbussink,rkh,2
Gibheer,dbussink,2
ileitch,dbussink,1
dbussink,hosiawak,2
hosiawak,brixen,2
evanphx,brixen,4
dbussink,tarcieri,4
rkh,evanphx,8
drbrain,dbussink,2
brixen,drbrain,1
brixen,Quintus,2
jc00ke,headius,2
dbussink,jmstacey,1
brixen,ryoqun,9
ileitch,brixen,5
jc00ke,burningTyger,2
travisbot,ileitch,1
brixen,ddd,1
travisbot,brixen,1
travisbot,flavio,1
travisbot,jfirebaugh,1
jc00ke,travisbot,1
headius,chuckremes,6
dbussink,steveklabnik,3
evanphx,ryoqun,1
jc00ke,evanphx,4
jc00ke,tmornini,2
dbussink,headius,2
travisbot,arthurschreiber,1
brixen,diegoviola,1
ileitch,jstepien,1
jstepien,jfirebaugh,1
arthurschreiber,r-stu31,2
arthurschreiber,ileitch,1
evanphx,leonko,2
travisbot,r-stu31,3
imajes,yipdw,2
imajes,ileitch,1
troessner,brixen,7
ileitch,norman,2
brixen,IPGlider,4
IPGlider,dbussink,1
mitchty,kronos,1
kronos,ileitch,1
ileitch,IPGlider,1
IPGlider,kronos,1
kronos,dbussink,1
travisbot,txus,2
activestylus,dbussink,2
brixen,jammi,1
brixen,MikeAski,3
ileitch,luckyruby,3
ileitch,tmornini,1
tmornini,luckyruby,1
sholden,jc00ke,1
jc00ke,IPGlider,1
IPGlider,sholden,2
brixen,lamnk,3
yipdw,masterkain,1
masterkain,Veejay,1
Veejay,yipdw,3
steveklabnik,isaacsanders,3
isaacsanders,evanphx,2
dbussink,michalbugno,18
michalbugno,travisbot,2
headius,aderyabin,1
zaeleus,IPGlider,1
